Price	Close	Close	Close	High	High	High	Low	Low	Low	Open	Open	Open	Volume	Volume	Volume
Ticker	AM.PA	SAP.DE	SIE.DE	AM.PA	SAP.DE	SIE.DE	AM.PA	SAP.DE	SIE.DE	AM.PA	SAP.DE	SIE.DE	AM.PA	SAP.DE	SIE.DE
Date															
11-05-23	161.5319061	117.6840439	141.430069	162.9605491	119.3776111	143.3872475	159.722283	117.1451749	139.7579197	161.2461746	118.3576209	141.8671157	47882	1608641	817712
12-05-23	162.1986084	118.69207	142.6081848	162.8653056	119.1422534	142.7221907	161.4366625	118.1831693	141.3730678	161.5319112	118.418046	142.2091352	34654	1337177	858985
15-05-23	162.960556	117.7721176	143.1022186	164.0082189	118.7312091	144.0713122	162.1986102	116.4215675	142.34216	162.5795758	118.3005957	142.3991629	45671	1544996	888362
16-05-23	164.484436	118.7312164	142.1331482	165.817845	118.8486585	143.5772713	162.6748273	117.5176782	141.7340985	163.055793	117.732985	142.304157	64064	1264021	1227503
17-05-23	167.3417206	119.7294464	145.7624664	168.1036665	121.0212868	146.4465308	163.8177373	118.6137729	143.2732411	165.341629	119.3967051	145.3634313	56401	1812844	2032231
18-05-23	167.722702	121.3931732	149.8668518	170.6752223	121.4714679	150.0758723	167.0559903	119.4945675	145.8574802	168.3893992	119.4945675	146.1995124	48239	1301436	1197827
19-05-23	166.3661804	121.8237915	151.8050232	169.1761015	122.4305569	152.9831373	165.1065616	121.1583014	149.4488096	168.4009504	122.0782381	150.1138681	56662	2395595	2239570
22-05-23	167.722702	121.0604324	150.0378571	170.3388243	122.0782414	151.0449478	167.2382344	120.7276911	149.6958249	167.335119	121.4323286	151.0259564	46991	1193650	993807
23-05-23	162.0059662	119.2205429	147.6816559	167.528894	121.1974358	149.6008374	161.9090815	119.1031008	146.1615095	167.1413258	121.0408539	149.1447848	74974	1575134	1300373
24-05-23	157.6457672	117.654686	144.6603699	161.0370407	118.7899294	146.3135279	157.3550837	117.1653552	143.2922556	161.0370407	118.3201761	145.838484	81696	1393897	1457352
25-05-23	158.0333557	118.2223129	145.9714813	160.5525787	118.5746317	147.4156188	158.0333557	117.3023687	143.3682357	159.002291	118.3397475	145.3634257	48036	1197205	920997
26-05-23	159.3898468	120.0230484	148.8597565	161.1339332	120.2187777	149.1637915	158.4209116	118.0070081	145.4774461	158.4209116	118.6529208	146.7695661	43739	1295970	1024963
29-05-23	160.2618866	119.2792587	148.2136993	161.3277213	120.316645	149.9808633	159.8743184	119.1813941	147.7766526	159.9712178	120.1992029	149.6578369	19984	587103	390163
30-05-23	157.4519806	119.4749985	148.8407593	160.6494699	120.8255487	150.8549408	157.1612971	119.2596917	147.4156276	159.9712182	119.4749985	148.1566949	48095	1226314	1046604
31-05-23	153.2855682	119.5728607	145.6864624	158.4209285	120.5906696	148.4037141	153.2855682	118.5354819	144.6603658	156.3861584	119.1813946	146.2185093	325771	6647786	3126518
01-06-23	157.6457672	120.2579193	148.8597565	158.5178178	120.9038395	148.9927827	155.611012	119.2596879	146.8075777	155.611012	120.218772	146.9975924	73515	1423028	940756
02-06-23	159.3898468	121.7063446	151.3299866	159.777415	121.7650619	151.5390071	155.2234223	120.336217	147.9856734	155.2234223	120.4928064	150.1138753	64634	2076560	1134390
05-06-23	157.6457672	120.4536591	150.6079254	160.4556884	121.6084799	151.691025	157.6457672	120.1013403	149.4298113	159.8743213	120.9038425	151.5200016	46942	1135145	804600
06-06-23	158.1302338	120.7668304	150.4559021	158.6147014	121.5889025	150.8359314	156.6768309	120.179635	149.8478465	157.451982	120.2187749	149.9808582	55267	1084558	615452
07-06-23	155.4172058	120.8646927	150.5509186	159.2929468	121.6280474	151.2729801	155.4172058	120.2579199	148.7267373	157.8395439	120.92341	150.7599246	58831	1399744	935681
08-06-23	157.6457672	120.9625626	150.8359222	157.8395513	120.9625626	151.4059807	154.9327455	118.6333508	149.7718286	155.4172131	119.298841	150.5889047	54437	1112638	846630
09-06-23	161.0370331	120.5710983	150.2468872	161.424616	121.4127478	150.8739486	157.9364433	119.8468909	149.7908491	157.9364433	120.9821418	150.835937	52612	1272350	785891
12-06-23	163.6531525	121.0408554	152.755127	164.4283036	121.1387201	152.9641474	161.6183974	119.5337158	150.6269249	161.6183974	120.9821381	150.8549512	69765	1505392	1085983
13-06-23	165.9786224	122.5871429	156.2514343	166.9475578	123.0177489	156.2514343	163.4593847	121.0995733	153.4961712	163.4593847	122.3326889	153.5341828	62975	1844192	1735419
14-06-23	164.3314209	122.8024521	156.1374207	165.5910249	122.8611694	157.2395259	163.2655862	121.412747	155.4153592	164.137622	121.7454958	155.4533563	55626	1456848	1353507
15-06-23	163.4593811	122.1173859	157.5055542	165.1065681	122.7633061	157.9615923	163.0718129	120.2775049	155.7193845	164.5252158	122.4697046	156.5174693	63906	1370522	1356253
16-06-23	167.2382355	123.8398285	155.6053772	167.7227031	124.4857412	158.664661	163.7500625	122.4892783	155.6053772	163.7500625	122.587143	157.6765761	127094	7926057	7998455
19-06-23	167.0444336	122.4892731	155.1493378	169.7574553	123.0373211	156.2324373	166.6568654	121.7259109	154.5982851	167.141333	122.645855	155.8523934	51740	958851	1031740
20-06-23	169.8543549	121.9216461	153.4581757	170.2419231	122.9786023	154.8263043	166.753765	121.6280447	153.4391698	166.753765	122.6262836	154.8072985	62482	1279698	1332909
21-06-23	172.082901	120.3753586	152.3750763	172.1797857	121.7650561	154.6742869	169.3698794	120.1600519	151.786012	169.5636635	121.37359	153.6481904	55495	1267384	1022977
22-06-23	169.5636749	120.4732285	152.5080872	171.5984449	120.6102405	152.5080872	168.8854232	118.7899295	149.6198123	171.210862	120.1600571	150.113862	67362	1102267	953429
23-06-23	172.6642761	119.9643326	149.1447754	172.6642761	121.3344602	150.1708719	168.3040671	119.8664679	146.4085324	169.1761177	120.5906754	149.1637812	80925	1397283	2449388
26-06-23	166.463089	119.0248184	147.7196503	172.0829167	120.5319581	149.8288464	163.9438513	118.711647	147.5676472	172.0829167	120.5319581	149.5438171	85245	1291476	1312767
